x_cat,x_sub,BDFE_cat,BDFE_sub,d,Vbur_cat,Vbur_sub,gibbs
6.899690543,3.27751789,92.82504426,84.95683756,0,22.5,21.3,13.37169154
6.899690543,3.46546839,92.82504426,87.0813053,0,22.5,23.6,14.72676613
6.899690543,3.190733933,92.82504426,84.17618751,0,22.5,26.1,12.20046671
6.899690543,3.062358711,92.82504426,84.65431875,0,22.5,31.7,14.02138276
6.899690543,3.210851321,92.82504426,84.61294765,0,22.5,28.6,12.04533997
6.899690543,2.989660735,92.82504426,83.56301486,0,22.5,24.1,12.14706059
6.899690543,3.197187116,92.82504426,84.02057695,0,22.5,26.1,12.6565755
6.899690543,3.196920444,92.82504426,82.30095043,0,22.5,21.5,11.97481098
6.899690543,2.593296761,92.82504426,80.10470873,0,22.5,20.1,11.26686549
6.899690543,3.666408253,92.82504426,83.5683807,0,22.5,19.5,14.47529965
6.899690543,3.348376376,92.82504426,82.97688977,0,22.5,21.4,14.39848301
6.899690543,3.184063058,92.82504426,80.98361555,0,22.5,21.6,12.74312607
6.899690543,3.097713122,92.82504426,80.76416966,0,22.5,21.8,13.32441117
6.899690543,3.296055656,92.82504426,82.12256816,0,22.5,21.4,13.39005938
6.899690543,3.307687169,92.82504426,82.45295469,0,22.5,21.5,13.16600066
6.899690543,3.300238049,92.82504426,83.10609533,0,22.5,20.3,13.76895306
6.899690543,3.310570217,92.82504426,82.02734415,0,22.5,21,13.87666515
6.899690543,3.347396765,92.82504426,83.84270046,0,22.5,18.9,13.21533111
6.899690543,3.348623999,92.82504426,83.66713822,0,22.5,20.1,14.55567678
6.899690543,2.570518098,92.82504426,81.46295789,0,22.5,20.5,11.73807028
6.899690543,2.615833243,92.82504426,81.43721994,0,22.5,20.6,12.00789331
6.899690543,2.919863494,92.82504426,83.70597481,0,22.5,20.2,12.02696898
7.7575,4.803156459,94.90335738,95.96205768,0,30.4,14.1,17.9781615
7.7575,3.870480283,94.90335738,90.48365887,0,30.4,16.8,14.44214265
7.7575,3.408487229,94.90335738,86.74034585,0,30.4,22.6,12.60730341
